i|я
me|мне
you|ты
my|мой
apple|яблоко
cat|кошка
dog|собака
book|книга
orange|апельсин
car|машина
house|дом
table|стол
pen|ручка
tree|дерево
computer|компьютер
chair|стул
milk|молоко
phone|телефон
school|школа
glass|стакан
bed|кровать
bottle|бутылка
window|окно
chair|кресло
shirt|рубашка
shoes|обувь
hat|шапка
bag|сумка
pencil|карандаш
desk|письменный стол
watch|часы
bike|велосипед
bus|автобус
train|поезд
plane|самолет
beach|пляж
fish|рыба
chicken|курица
horse|лошадь
bird|птица
cow|корова
sheep|овца
pig|свинья
rabbit|кролик
duck|утка
elephant|слон
lion|лев
tiger|тигр
monkey|обезьяна
snake|змея
butterfly|бабочка
frog|лягушка
bee|пчела
ant|муравей
spider|паук
bear|медведь
wolf|волк
fox|лиса
squirrel|белка
dolphin|дельфин
whale|кит
shark|акула
octopus|осьминог
jellyfish|медуза
star|звезда
moon|луна
sun|солнце
sky|небо
cloud|облако
rain|дождь
snow|снег
wind|ветер
fire|огонь
earth|земля
river|река
mountain|гора
lake|озеро
ocean|океан
island|остров
flower|цветок
grass|трава
tree|дерево
forest|лес
desert|пустыня
city|город
country|страна
beach|пляж
park|парк
museum|музей
library|библиотека
zoo|зоопарк
theater|театр
cinema|кинотеатр
restaurant|ресторан
cafe|кафе
hotel|отель
supermarket|супермаркет
market|рынок
airport|аэропорт
train station|вокзал
bus stop|автобусная остановка
school|школа
university|университет
hospital|больница
watch out for|берегись
